"LoincCode","AtomName","CanonicalInvestigationLoincCode","CanonicalInvestigationName","Category","Unit","Type","Required"
"35025-6","Monocytes+Macrophages [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"26492-9","Mononuclear cells/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"26489-5","Mononuclear cells [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"30447-7","Myelocytes/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"35017-3","Myelocytes [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"26512-4","Neutrophils/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"26500-9","Neutrophils [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"26509-0","Band form neutrophils/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"35015-7","Band form neutrophils [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"26506-6","Segmented neutrophils/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"35011-6","Segmented neutrophils [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"30456-8","Nonhematic cells/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"35007-4","Nonhematic cells [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"30467-5","Promyelocytes/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"34995-1","Promyelocytes [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"30468-3","Unidentified cells/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"34987-8","Unidentified cells [#/volume] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","10*3/uL","numeric",""
"19075-1","Cells Counted Total [#] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","{#}","numeric",""
"20998-1","Cell Fractions/Differential [Interpretation] in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","","text",""
"99060-6","Cerebroventricular lining cells/Leukocytes in Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","%","numeric",""
"10333-3","Appearance of Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","","text",""
"10335-8","Color of Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","","text",""
"19157-7","Tube number of Cerebral spinal fluid","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","","text",""
"20512-0","Turbidity [Presence] of Cerebral spinal fluid Qualitative","34564-5","Cell count and Differential panel - Cerebral spinal fluid","lab","","ordinal",""
"26604-9","Beta alanine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20636-7","Alanine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26600-7","Alpha aminoadipate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"30060-8","Amino beta guanidinopropionate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/dL","numeric",""
"26609-8","Gamma aminobutyrate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26605-6","Beta aminoisobutyrate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20634-2","Alpha aminobutyrate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26599-1","Anserine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20637-5","Arginine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20638-3","Asparagine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20639-1","Aspartate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26606-4","Carnosine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20640-9","Citrulline [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26607-2","Cystathionine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"22672-0","Cystine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20642-5","Glutamate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20643-3","Glutamine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20644-1","Glycine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20645-8","Histidine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20646-6","Homocystine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26610-6","Hydroxylysine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20647-4","Hydroxyproline [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20648-2","Isoleucine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20649-0","Leucine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20650-8","Lysine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20651-6","Methionine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20633-4","1-Methylhistidine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20635-9","3-Methylhistidine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20652-4","Ornithine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"14875-9","Phenylalanine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26612-2","Phosphoethanolamine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"20654-0","Phosphoserine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20655-7","Proline [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26613-0","Sarcosine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20656-5","Serine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20657-3","Taurine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20658-1","Threonine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20659-9","Tryptophan [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20660-7","Tyrosine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"20661-5","Valine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"13500-4","Amino acid pattern [Interpretation] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","","text",""
"79589-8","Aspartylglycosamine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"32334-5","Pipecolate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"26608-0","Ethanolamine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"79607-8","Saccharopine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"47939-4","Sulfocysteine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"55876-7","Homocitrulline [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"32227-1","Argininosuccinate [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"13965-9","Homocysteine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"22670-4","Alloisoleucine [Moles/volume] in Serum or Plasma","35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"2099-0","Cholinesterase [Enzymatic activity/volume] in Red Blood Cells","35558-6","Cholinesterase panel [Enzymatic activity/volume] - Blood","lab","U/mL","numeric",""
"2098-2","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma","35558-6","Cholinesterase panel [Enzymatic activity/volume] - Blood","lab","U/L","numeric",""
"38261-4","DXA Hip [Mass/Area] Bone density","38269-7","Study report Skeletal system DXA","radiology","g/cm2","numeric",""
"38264-8","DXA Hip [T-score] Bone density","38269-7","Study report Skeletal system DXA","radiology","{T-score}","numeric",""
"24701-5","DXA Femur [Mass/Area] Bone density","38269-7","Study report Skeletal system DXA","radiology","g/cm2","numeric",""
"38263-0","DXA Femur [T-score] Bone density","38269-7","Study report Skeletal system DXA","radiology","{T-score}","numeric",""
"38262-2","DXA Calcaneus [Mass/Area] Bone density","38269-7","Study report Skeletal system DXA","radiology","g/cm2","numeric",""
"38266-3","DXA Calcaneus [T-score] Bone density","38269-7","Study report Skeletal system DXA","radiology","{T-score}","numeric",""
"24890-6","DXA Radius and Ulna [Mass/Area] Bone density","38269-7","Study report Skeletal system DXA","radiology","g/cm2","numeric",""
"38265-5","DXA Radius and Ulna [T-score] Bone density","38269-7","Study report Skeletal system DXA","radiology","{T-score}","numeric",""
"24966-4","DXA Lumbar spine [Mass/Area] Bone density","38269-7","Study report Skeletal system DXA","radiology","g/cm2","numeric",""
"38267-1","DXA Lumbar spine [T-score] Bone density","38269-7","Study report Skeletal system DXA","radiology","{T-score}","numeric",""
"38268-9","DXA Skeletal system Views for bone density","38269-7","Study report Skeletal system DXA","radiology","","document",""
"9753-5","Coxsackievirus A2 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"9754-3","Coxsackievirus A4 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"9755-0","Coxsackievirus A7 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"9757-6","Coxsackievirus A9 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"9750-1","Coxsackievirus A10 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"6688-6","Coxsackievirus A16 Ab [Titer] in Serum by Complement fixation","41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5104-5","Coxsackievirus B1 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5106-0","Coxsackievirus B2 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5108-6","Coxsackievirus B3 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5110-2","Coxsackievirus B4 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5112-8","Coxsackievirus B5 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"5114-4","Coxsackievirus B6 Ab [Titer] in Serum by Complement fixation","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","{titer}","text",""
"20996-5","Coxsackievirus B1+B2+B3+B4+B5+B6 Ab [Interpretation] in Serum","41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","lab","","text",""
"9708-9","Coxiella burnetii phase 1 IgG Ab [Titer] in Serum","41840-0","Coxiella burnetii phase 1 and 2 IgG panel [Titer] - Serum","lab","{titer}","text",""
"9709-7","Coxiella burnetii phase 2 IgG Ab [Titer] in Serum","41840-0","Coxiella burnetii phase 1 and 2 IgG panel [Titer] - Serum","lab","{titer}","text",""
"23991-3","Dengue virus IgG Ab [Units/volume] in Serum by Immunoassay","41878-0","Dengue virus IgG and IgM panel - Serum by Immunoassay","lab","[arb'U]/mL","numeric",""
"23992-1","Dengue virus IgM Ab [Units/volume] in Serum by Immunoassay","41878-0","Dengue virus IgG and IgM panel - Serum by Immunoassay","lab","[arb'U]/mL","numeric",""
"51785-4","Dengue virus IgG and IgM [Interpretation] in Serum","41878-0","Dengue virus IgG and IgM panel - Serum by Immunoassay","lab","","text",""
"2532-0","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","U/L","numeric",""
"2536-1","Lactate dehydrogenase 1/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","%","numeric",""
"2539-5","Lactate dehydrogenase 2/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","%","numeric",""
"2542-9","Lactate dehydrogenase 3/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","%","numeric",""
"2545-2","Lactate dehydrogenase 4/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","%","numeric",""
"2548-6","Lactate dehydrogenase 5/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","%","numeric",""
"5910-5","Lactate dehydrogenase isoenzymes [Interpretation] in Serum or Plasma","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","","text",""
"49279-3","Lactate dehydrogenase isoenzymes [Interpretation] in Serum or Plasma Narrative","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","","long_text",""
"14805-6","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","U/L","numeric",""
"14804-9","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction","42929-0","Lactate dehydrogenase panel - Serum or Plasma","lab","U/L","numeric",""
"3122-9","Vanillylmandelate [Mass/time] in 24 hour Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","mg/(24.h)","numeric",""
"30571-4","Vanillylmandelate/Creatinine [Mass Ratio] in 24 hour Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","ug/mg{creat}","numeric",""
"2161-8","Creatinine [Mass/volume] in Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","mg/dL","numeric",""
"2162-6","Creatinine [Mass/time] in 24 hour Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","g/(24.h)","numeric",""
"13362-9","Collection duration of Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","h","numeric",""
"3167-4","Volume of 24 hour Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","L","numeric",""
"9624-8","Vanillylmandelate [Mass/volume] in Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","mg/dL","numeric",""
"3124-5","Vanillylmandelate/Creatinine [Mass Ratio] in Urine","43099-1","Vanillylmandelate and Creatinine panel - 24 hour Urine","lab","ug/mg{creat}","numeric",""
"15188-6","Kappa light chains [Mass/volume] in 24 hour Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","g/L","numeric",""
"25682-6","Kappa light chains [Mass/time] in 24 hour Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","g/(24.h)","numeric",""
"15187-8","Lambda light chains [Mass/volume] in 24 hour Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","g/L","numeric",""
"25684-2","Lambda light chains [Mass/time] in 24 hour Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","mg/(24.h)","numeric",""
"3167-4","Volume of 24 hour Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","L","numeric",""
"14795-9","Immunoglobulin light chains [Interpretation] in Urine","43110-6","Immunoglobulin light chains panel - 24 hour Urine","lab","","text",""
"14628-2","Bile acid [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"30518-5","Cholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"30520-1","Deoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"30519-3","Chenodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"75038-0","Bile acid pattern [Interpretation] in Serum or Plasma Narrative","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","","long_text",""
"38188-9","Bile acid.trihydroxy [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"38187-1","Bile acid.dihydroxy [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"55159-8","Ursodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"74897-0","Lithocholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"93330-9","Glycoursodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93331-7","Glycolithocholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93332-5","Glycohyodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93333-3","Glycodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93334-1","Glycocholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93335-8","Glycochenodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93329-1","Hyodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93325-9","Taurohyodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93328-3","Taurochenodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93327-5","Taurocholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93326-7","Taurodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93324-2","Taurolithocholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"93323-4","Tauroursodeoxycholate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","nmol/mL","numeric",""
"53479-2","Dihydroxycholestanoate [Moles/volume] in Serum or Plasma","43130-4","Bile acid fractions panel [Moles/volume] - Serum or Plasma","lab","umol/L","numeric",""
"11145-0","5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in Urine","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","mg/g{creat}","numeric",""
"1695-6","5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","mg/(24.h)","numeric",""
"2162-6","Creatinine [Mass/time] in 24 hour Urine","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","g/(24.h)","numeric",""
"2161-8","Creatinine [Mass/volume] in Urine","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","mg/dL","numeric",""
"19153-6","Volume in Urine collected for unspecified duration","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","mL","numeric",""
"30211-7","Collection duration of Specimen","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","h","numeric",""
"44909-0","5-Hydroxyindoleacetate and Creatinine [Interpretation] in Urine","44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","lab","","text",""
"8063-0","Cardiolipin IgA Ab [Units/volume] in Serum or Plasma","45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","lab","[APL'U]","numeric",""
"8065-5","Cardiolipin IgG Ab [Units/volume] in Serum or Plasma","45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","lab","[arb'U]/mL","numeric",""
"8067-1","Cardiolipin IgM Ab [Units/volume] in Serum or Plasma","45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","lab","[arb'U]/mL","numeric",""
"20425-5","Cardiolipin IgM Ab [Interpretation] in Serum","45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","lab","","text",""
"20424-8","Cardiolipin IgG Ab [Interpretation] in Serum","45057-7","Cardiolipin IgA and IgG and IgM panel - Serum","lab","","text",""
"9783-2","Ehrlichia chaffeensis IgG Ab [Titer] in Serum","45059-3","Ehrlichia chaffeensis IgG and IgM panel [Titer] - unspecified time Serum by Immunofluorescence","lab","{titer}","text",""
"9784-0","Ehrlichia chaffeensis IgM Ab [Titer] in Serum","45059-3","Ehrlichia chaffeensis IgG and IgM panel [Titer] - unspecified time Serum by Immunofluorescence","lab","{titer}","text",""
"2160-0","Creatinine [Mass/volume] in Serum or Plasma","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mg/dL","numeric",""
"50044-7","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among female population","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"48642-3","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among non black population","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"48643-1","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)/1.73 sq M among black population","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"33914-3","Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"88294-4","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)/1.73 sq M among non black population","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"88293-6","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)/1.73 sq M among black population","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"62238-1","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)/1.73 sq M","45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","lab","mL/min/{1.73_m2}","numeric",""
"8124-0","CD3 cells/cells in Blood","45268-0","Immunodeficiency panel - Blood by Flow cytometry (FC)","lab","%","numeric",""
"8117-4","CD19 cells/cells in Blood","45268-0","Immunodeficiency panel - Blood by Flow cytometry (FC)","lab","%","numeric",""
"8111-7","CD14 cells/cells in Blood","45268-0","Immunodeficiency panel - Blood by Flow cytometry (FC)","lab","%","numeric",""
"9680-0","CD16+CD57+ cells/cells in Blood","45268-0","Immunodeficiency panel - Blood by Flow cytometry (FC)","lab","%","numeric",""
